Mean_FCC1,Mean_FCC2,Mean_FCC3,Mean_FCC4,Mean_FCC5,Mean_FCC6,Mean_FCC7,Mean_FCC8,Mean_FCC9,Mean_FCC10,Mean_FCC11,Mean_FCC12,STD_FCC1,STD_FCC2,STD_FCC3,STD_FCC4,STD_FCC5,STD_FCC6,STD_FCC7,STD_FCC8,STD_FCC9,STD_FCC10,STD_FCC11,STD_FCC12,SKEW_FCC1,SKEW_FCC2,SKEW_FCC3,SKEW_FCC4,SKEW_FCC5,SKEW_FCC6,SKEW_FCC7,SKEW_FCC8,SKEW_FCC9,SKEW_FCC10,SKEW_FCC11,SKEW_FCC12,KUR_FCC1,KUR_FCC2,KUR_FCC3,KUR_FCC4,KUR_FCC5,KUR_FCC6,KUR_FCC7,KUR_FCC8,KUR_FCC9,KUR_FCC10,KUR_FCC11,KUR_FCC12,DER1_FCC1,DER1_FCC2,DER1_FCC3,DER1_FCC4,DER1_FCC5,DER1_FCC6,DER1_FCC7,DER1_FCC8,DER1_FCC9,DER1_FCC10,DER1_FCC11,DER1_FCC12,DER2_FCC1,DER2_FCC2,DER2_FCC3,DER2_FCC4,DER2_FCC5,DER2_FCC6,DER2_FCC7,DER2_FCC8,DER2_FCC9,DER2_FCC10,DER2_FCC11,DER2_FCC12,LENGTH,MINFREC,MAXFREC,DOMFREC,CLASS
21.311,0.60856,-0.29997,-0.02607,-0.11783,0.020897,-0.06658,0.022167,-0.032907,0.0083861,-1.9358e-14,-0.0083861,2.2281,1.1733,0.47055,0.16244,0.069231,0.048244,0.021841,0.01498,0.0070853,0.0037321,1.4674e-15,0.0037321,0.25655,-0.058895,1.2692,0.29664,0.069858,0.37603,0.17829,0.30956,0.25557,0.43191,-0.26676,-0.43191,2.0106,1.3181,3.5942,2.208,1.4771,2.6038,2.0943,2.6518,2.4017,2.4846,2.9436,2.4846,0.58807,0.40952,0.057719,-0.01948,0.012971,-0.0053094,0.0042939,-0.0014783,0.0012836,-0.0003005,-5.1019e-17,0.0003005,0.36056,-0.041116,-0.10022,0.017305,-0.015089,0.005494,-0.0044403,0.00087958,-0.0014963,0.00023544,-3.7917e-16,-0.00023544,0.44589,3940.2,4163.3,4004.8,1
14.281,-1.0131,0.34855,0.1282,0.074835,0.013089,0.02201,0.0031685,0.0077555,0.0006021,-1.4924e-14,-0.0006021,1.3169,0.54136,0.36575,0.059414,0.064924,0.018588,0.020922,0.0049108,0.0076516,0.0013011,1.521e-15,0.0013011,-0.22219,-0.58332,0.64214,-0.20616,-0.19952,0.61797,-0.19359,1.1753,-0.27019,1.0443,0.61537,-1.0443,2.3269,1.6692,2.4021,1.4553,2.6787,2.6409,3.4615,3.4549,3.6218,3.258,2.0899,3.258,-0.14412,0.10152,-0.068667,-0.0060904,-0.0035686,0.00094918,-0.0019484,-8.4828e-05,-0.00077115,2.5059e-06,2.7674e-16,-2.5059e-06,-0.20777,0.070823,0.011065,-0.0012425,0.001373,-0.00057064,0.0015605,-3.5564e-05,0.00057609,-5.0321e-05,2.843e-16,5.0321e-05,0.32698,3820,4008.8,4003,1
30.508,0.22182,0.69296,-0.65984,-0.15872,-0.097253,-0.2215,0.026237,-0.030627,-0.010285,-2.8574e-14,0.010285,0.94142,0.71964,0.62612,0.25546,0.31095,0.15741,0.17339,0.12756,0.1404,0.062302,4.9638e-16,0.062302,-0.35347,-0.4062,-0.10053,-0.5644,-0.29578,-1.0786,0.81828,-0.31059,0.53072,0.25453,1.534,-0.25453,1.7794,1.9593,2.0097,3.0572,1.8777,2.7902,2.1484,2.3112,2.3137,2.4052,4.8447,2.4052,0.26646,0.17474,-0.17697,-0.022746,0.054696,-0.019513,-0.0076601,-0.014992,-0.028593,0.0020433,-7.0529e-18,-0.0020433,-0.10203,-0.15756,-0.075828,-0.072728,-0.040338,-0.017613,-0.031917,0.021313,0.025877,0.0023196,-7.4595e-17,-0.0023196,0.86205,3854.4,4764,4758.5,1
22.608,0.30228,-0.17412,-0.067784,-0.14709,-0.0068629,-0.054234,-0.0055305,-0.022539,-0.00095825,-2.1006e-14,0.00095825,2.1511,1.037,0.35664,0.18996,0.09875,0.038188,0.023254,0.016151,0.0081589,0.0040951,2.8029e-15,0.0040951,-1.7321,0.50145,-0.033375,0.35949,-0.34467,0.063399,-0.044898,0.056564,-0.41287,0.28477,1.0299,-0.28477,5.1016,2.1313,3.0064,2.8382,2.055,2.4945,2.2868,1.6503,2.1086,1.7989,3.0353,1.7989,-0.3993,-0.045732,0.0099608,-0.0059426,0.0041302,-0.0020627,0.0020676,-0.0015416,0.00044586,-0.00024125,3.1927e-16,0.00024125,-0.40135,0.16254,-0.020477,-0.039112,0.0061589,-0.009714,0.0015955,-0.004566,0.00090429,-0.0011673,5.9114e-16,0.0011673,0.35671,3888.7,4180.4,3969.4,1
28.535,0.65212,-1.0313,-0.59816,0.33383,0.31256,0.21435,0.14356,0.072632,0.012493,-2.5955e-14,-0.012493,1.0644,0.42591,0.3522,0.45367,0.49109,0.21381,0.2589,0.14503,0.12861,0.079868,7.4124e-16,0.079868,0.32214,0.68846,-1.4492,-0.16158,-0.42514,-0.55571,1.7728,0.25977,-0.30277,0.46941,0.79615,-0.46941,1.9318,1.9631,4.866,1.7894,2.4938,2.3801,5.3311,2.8854,1.8515,2.4479,2.5214,2.4479,-0.11944,0.0066939,-0.020107,-0.056558,0.047745,0.040579,0.010602,-0.028254,-0.026569,0.001885,1.5692e-16,-0.001885,0.0080659,0.031284,-0.048036,0.068262,0.15808,0.012637,-0.067675,-0.022237,-0.0024886,-0.010662,5.2941e-18,0.010662,0.89178,3648.4,4540.9,4030.5,1
25.814,1.0266,-0.27871,-0.4944,-0.26714,0.12285,-0.014769,-0.049562,-0.032258,-0.0053789,-2.2954e-14,0.0053789,1.0184,0.97417,0.52581,0.46571,0.39685,0.25219,0.21635,0.10737,0.060233,0.059739,1.0132e-15,0.059739,-0.84286,-0.32392,-0.022433,0.40564,0.23058,-0.54422,-0.51151,0.30989,0.047407,-0.19705,0.053518,0.19705,3.1593,2.0916,1.7158,1.9999,2.3716,2.5107,2.1613,1.3439,1.8171,1.8785,1.4121,1.8785,0.13519,0.29354,0.010983,0.00049815,0.06444,0.03905,-0.037973,-0.029642,0.0041656,0.001277,2.5205e-16,-0.001277,-0.048893,0.016137,0.12722,0.10771,-0.0091359,-0.048354,-0.0097674,0.0027497,0.0038792,-0.0078633,-2.995e-18,0.0078633,0.56479,3871.5,4540.9,4124.5,1
27.803,0.082794,0.71941,-0.73335,-0.33478,-0.39038,-0.10125,0.0074476,-0.049587,-0.069688,-2.634e-14,0.069688,1.0795,0.54604,0.34297,0.57643,0.50541,0.14885,0.32006,0.20164,0.089954,0.078545,1.117e-15,0.078545,0.3359,-0.093188,-0.56309,-0.045817,-0.4912,1.1484,0.06997,-0.57693,0.2896,0.26334,-1.044,-0.26334,2.2958,2.1743,2.6398,1.85,1.5772,3.8266,2.1184,2.4277,2.5898,2.9833,2.7035,2.9833,-0.088456,-0.076532,-0.036147,0.15171,0.12961,0.023568,-0.085716,-0.033245,0.011988,0.00070129,-4.4442e-17,-0.00070129,0.12715,-0.040005,-0.00014099,0.0931,0.028184,-0.010229,0.012268,0.056037,-0.0011617,0.001376,-2.0015e-16,-0.001376,0.56479,3871.5,4712.5,4711.1,1
7.1806,-0.39784,0.04482,-0.019474,-0.01592,-0.005419,-0.010007,-0.0022811,-0.0052044,-0.0006169,-7.3158e-15,0.0006169,5.3176,0.93025,0.46099,0.05352,0.077438,0.015719,0.029004,0.006398,0.010684,0.0017568,4.7926e-15,0.0017568,-0.12983,-0.6094,0.14211,0.0629,-0.30951,-0.28756,-0.21619,-0.31012,-0.22901,-0.33162,0.013622,0.33162,2.0282,2.8309,1.9307,2.4552,1.3562,2.9385,1.4757,2.8286,1.4655,2.8872,2.1378,2.8872,0.17095,-0.078916,-0.096868,0.00075751,-0.014051,-0.00062463,-0.0054229,-0.00019305,-0.0019964,-5.4802e-05,-2.457e-16,5.4802e-05,1.623,0.25758,-0.073629,0.0089211,-0.015286,0.003805,-0.0054992,0.001571,-0.0020288,0.00043539,-1.2029e-15,-0.00043539,0.089178,3854.4,3974.5,3951.2,1
30.907,0.28703,1.1346,-0.54449,-0.51691,-0.20245,-0.48687,-0.018742,0.093602,-0.0035337,-2.8938e-14,0.0035337,0.99951,0.81864,0.45233,0.65183,0.72011,0.37865,0.20531,0.17649,0.12299,0.095636,8.3561e-16,0.095636,-0.77535,0.35481,0.016694,0.2429,-0.68483,0.17296,0.042936,0.50519,0.54137,0.25147,-0.32551,-0.25147,1.9767,1.5448,1.6558,2.9667,2.7123,2.1324,1.902,2.397,2.1638,2.9936,1.6555,2.9936,0.21922,0.056513,0.056736,0.18687,0.15444,0.01068,-0.019178,0.013836,0.022975,-0.012432,-2.2664e-16,0.012432,0.14733,0.2049,0.023354,-0.061031,-0.16597,-0.074461,-0.036106,-0.040289,0.014831,-0.010719,1.127e-16,0.010719,0.65397,3854.4,4901.3,4107.3,1
18.885,-2.1296,-0.55649,0.15084,0.10816,0.041298,0.02308,0.025545,0.020169,0.014151,-2.0575e-14,-0.014151,3.3662,0.47137,0.72795,0.40477,0.10913,0.096616,0.10072,0.051432,0.028903,0.019209,2.8937e-15,0.019209,1.1412,-0.11312,-0.86357,0.87446,0.010805,0.17562,-0.5533,0.96601,0.75593,0.97358,-0.87272,-0.97358,3.9374,2.9474,3.4441,3.9532,1.8824,2.2177,2.9661,2.9429,2.8563,2.5729,3.5446,2.5729,-0.99531,-0.023264,0.058132,0.0061133,-0.0088451,0.0090147,0.0084386,0.003134,0.0023252,0.0003856,9.097e-16,-0.0003856,0.23202,0.10469,-0.063017,-0.097382,0.0017692,0.024658,0.024901,0.010803,0.0013481,-0.0010863,-5.14e-17,0.0010863,0.23781,3768.5,4129,4102.2,1
